23:29:59.951750 config: drop-rate=0.20, max-delay=100ms, seed=2387230234324
23:29:59.952163 router is listening at :3000
23:35:40.096670 [queue=1] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delayed for 44ms
23:35:40.141452 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
23:35:40.149367 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delayed for 63ms
23:35:40.212844 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
23:35:40.213446 [queue=1] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delayed for 14ms
23:35:40.214844 [queue=2] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=89 is delayed for 28ms
23:35:40.215888 [queue=3] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=20 is delayed for 2ms
23:35:40.218316 [queue=2] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=20 is delivered
23:35:40.219825 [queue=3] packet #1, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delayed for 89ms
23:35:40.228038 [queue=2] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
23:35:40.243216 [queue=1] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=89 is delivered
23:35:40.254729 [queue=2] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delayed for 51ms
23:35:40.306022 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
23:35:40.309049 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
23:51:47.255126 [queue=1] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delayed for 99ms
23:51:47.354654 [queue=0] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
23:51:47.361638 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delayed for 8ms
23:51:47.370216 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
23:51:47.370904 [queue=1] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delayed for 35ms
23:51:47.372499 [queue=2] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=89 is delayed for 23ms
23:51:47.373389 [queue=2] packet #1, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=20 is dropped
23:51:47.395974 [queue=1] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=89 is delivered
23:51:47.397446 [queue=2] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delayed for 86ms
23:51:47.406476 [queue=1] packet #0, 127.0.0.1:41830 -> 127.0.0.1:8007, sz=0 is delivered
23:51:47.483744 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:41830, sz=0 is delivered
